timestamp,label,cachegrind_file,Ir,I1mr,Dr,Dw,D1mr,D1mw,DLmr,DLmw,D1_misses,LL_misses,Ir_CSC_YCC_to_RGB,Ir_chrominance_array_upsample,Ir_CSC_RGB_to_YCC
2026-08-09T13:52:01,baseline,metrics/cachegrind/baseline-20260809-135157.out,1185376,1610,344928,199245,3002,1448,1227,622,4450,1849,193990,0,261954
2026-08-09T13:52:12,lut_no_neon,metrics/cachegrind/lut_no_neon-20260809-135208.out,1267875,1612,408370,209920,3135,1609,1227,772,4744,1999,193990,0,343477
2026-08-09T13:52:22,neon,metrics/cachegrind/neon-20260809-135219.out,969019,1568,272402,167912,3003,1446,1225,624,4449,1849,153266,0,88650
2026-08-09T13:52:33,neon_tiled,metrics/cachegrind/neon_tiled-20260809-135229.out,1140541,1554,336472,219573,2988,1445,1224,624,4433,1848,153266,0,258440
2026-08-09T13:52:43,neon_fused,metrics/cachegrind/neon_fused-20260809-135239.out,1055569,1565,298732,183709,2846,972,1221,529,3818,1750,64200,0,88648
2026-08-09T13:52:59,baseline_large,metrics/cachegrind/baseline_large-20260809-135251.out,96269177,1629,29113062,16350813,205475,166051,151204,122412,371526,273616,17943324,0,22618342
2026-08-09T13:53:16,lut_no_neon_large,metrics/cachegrind/lut_no_neon_large-20260809-135306.out,106870462,1651,36486557,17734388,347921,196822,151243,122547,544743,273790,17943324,0,33220119
2026-08-09T13:53:31,neon_large,metrics/cachegrind/neon_large-20260809-135323.out,80613770,1555,23539990,15220917,620742,137262,151201,122393,758004,273594,15982184,0,8924866
2026-08-09T13:53:47,neon_tiled_large,metrics/cachegrind/neon_tiled_large-20260809-135338.out,91673770,1564,27463250,18157654,265243,183396,151206,122388,448639,273594,15982184,0,19984376
2026-08-09T13:54:02,neon_fused_large,metrics/cachegrind/neon_fused_large-20260809-135353.out,88981861,1573,25853320,16677794,165857,137961,131283,101174,303818,232457,6538952,0,8924864
