timestamp,label,input,rows,cols,rgb_to_ycc_routine,ycc_to_rgb_routine,downsample_mode,upsample_mode,iterations,rgb_to_ycc_ms_mean,ycc_to_rgb_ms_mean,ycc_to_rgb_ms_min,total_ms_mean,mpix_per_s,ns_per_pixel,diff_max,mean_abs_delta
2026-08-09T13:51:57,baseline,testimages/input.ppm,64,48,2,2,2,2,1000,0.048655,0.050994,0.045999,0.099648,60.242653,16.600,113,4.916667
2026-08-09T13:52:08,lut_no_neon,testimages/input.ppm,64,48,5,2,2,2,1000,0.051249,0.051572,0.046991,0.102821,59.567172,16.788,113,4.916667
2026-08-09T13:52:19,neon,testimages/input.ppm,64,48,6,4,2,2,1000,0.025727,0.034526,0.030992,0.060253,88.976890,11.239,113,4.916667
2026-08-09T13:52:29,neon_tiled,testimages/input.ppm,64,48,4,4,2,2,1000,0.044703,0.034670,0.030992,0.079373,88.607171,11.286,113,4.916667
2026-08-09T13:52:39,neon_fused,testimages/input.ppm,64,48,6,5,2,2,1000,0.025248,0.062838,0.056991,0.088086,48.887794,20.455,113,4.916667
2026-08-09T13:52:50,baseline_large,testimages/input_640x480.ppm,640,480,2,2,2,2,50,4.609380,4.643780,4.553980,9.253160,66.153002,15.116,198,1.857064
2026-08-09T13:53:06,lut_no_neon_large,testimages/input_640x480.ppm,640,480,5,2,2,2,50,5.057957,4.678699,4.586988,9.736656,65.659275,15.230,198,1.857064
2026-08-09T13:53:23,neon_large,testimages/input_640x480.ppm,640,480,6,4,2,2,50,2.634907,3.489484,3.421984,6.124391,88.035940,11.359,198,1.857064
2026-08-09T13:53:38,neon_tiled_large,testimages/input_640x480.ppm,640,480,4,4,2,2,50,3.383504,3.621382,3.545982,7.004886,84.829493,11.788,198,1.857064
2026-08-09T13:53:53,neon_fused_large,testimages/input_640x480.ppm,640,480,6,5,2,2,50,2.591407,7.219463,7.144956,9.810870,42.551640,23.501,198,1.857064
